iter	Logloss
0	0.6799340114
1	0.6674341702
2	0.6544732199
3	0.6426823064
4	0.6316108936
5	0.6219960386
6	0.6134592021
7	0.6044239183
8	0.5957163246
9	0.5869376333
10	0.5786145588
11	0.5700135183
12	0.5637395136
13	0.5564043033
14	0.5494488467
15	0.542662614
16	0.5365083159
17	0.5309465977
18	0.5257163668
19	0.5201058043
20	0.5161042747
21	0.5113168411
22	0.5068423854
23	0.5024571487
24	0.4984328728
25	0.4942231989
26	0.4903768489
27	0.4868634312
28	0.4834260379
29	0.4803019023
30	0.4774593537
31	0.4745458417
32	0.4716342201
33	0.4690726955
34	0.4667405208
35	0.4645718695
36	0.4621613693
37	0.4598542141
38	0.4577833355
39	0.4555579975
40	0.4534457982
41	0.4511493652
42	0.449062376
43	0.4470980903
44	0.4452163065
45	0.4435163795
46	0.4419024779
47	0.4401214225
48	0.4387337989
49	0.4370590209
50	0.4353840114
51	0.4338824858
52	0.432691447
53	0.4311383861
54	0.4298336044
55	0.4286511088
56	0.4273537696
57	0.4261839878
58	0.4250345815
59	0.4239174077
60	0.4227556862
61	0.421779886
62	0.4207439987
63	0.4197164839
64	0.4189873052
65	0.4180687521
66	0.4174251638
67	0.4165337624
68	0.4156757383
69	0.4149152661
70	0.4142700838
71	0.4133920074
72	0.4126667462
73	0.4118334191
74	0.4110654882
75	0.4103139172
76	0.4096109109
77	0.408953687
78	0.4082417497
79	0.4075213801
80	0.4068328897
81	0.4062293685
82	0.4056237001
83	0.4050495364
84	0.4046384547
85	0.4040794937
86	0.4034822626
87	0.4027972696
88	0.4023106964
89	0.401674116
90	0.4012222554
91	0.4007566323
92	0.40037287
93	0.3998229559
94	0.3994307799
95	0.3987727988
96	0.3983256218
97	0.3980155884
98	0.3974940778
99	0.397017527
100	0.396735192
101	0.3963400957
102	0.3959548697
103	0.395465414
104	0.3950617645
105	0.3946497059
106	0.3942513996
107	0.3937869259
108	0.3935220768
109	0.3931741136
110	0.3927672884
111	0.3923546747
112	0.3920075496
113	0.3916835708
114	0.3912908844
115	0.3909657139
116	0.3906777127
117	0.3902651125
118	0.3899453422
119	0.389653171
120	0.3893161345
121	0.3888752662
122	0.3885072419
123	0.3882189833
124	0.3878657357
125	0.3876218455
126	0.3872827199
127	0.3870715586
128	0.386866208
129	0.3866062368
130	0.3864703505
131	0.3862236851
132	0.3859066081
133	0.3855222416
134	0.385207877
135	0.3849399798
136	0.3846330114
137	0.3843954823
138	0.3841321242
139	0.3838352876
140	0.3836100759
141	0.3834115615
142	0.3831585762
143	0.3829531059
144	0.3827321518
145	0.3825142416
146	0.382249136
147	0.3820028089
148	0.3817052933
149	0.3814598301
150	0.3812632894
151	0.381099965
152	0.3809353249
153	0.3806756754
154	0.3804614624
155	0.3801333302
156	0.3799591245
157	0.37970836
158	0.3794871708
159	0.3792417898
160	0.3790856423
161	0.3787999625
162	0.3786319658
163	0.3783669096
164	0.3781335287
165	0.3779510998
166	0.3777268736
167	0.377579846
168	0.3773805322
169	0.3772338594
170	0.3770737286
171	0.3768755092
172	0.3766694895
173	0.3765163919
174	0.3764574413
175	0.3762608262
176	0.37619922
177	0.3759566142
178	0.3758084448
179	0.3755759717
180	0.3753655121
181	0.3753587232
182	0.3751128921
183	0.3749258653
184	0.3746497791
185	0.3743240485
186	0.3741440274
187	0.3739411927
188	0.3738204252
189	0.3737117345
190	0.3735323798
191	0.3734221199
192	0.3733630333
193	0.3732524227
194	0.3731717149
195	0.37288033
196	0.3726246629
197	0.3723799238
198	0.3722407544
199	0.372062754
200	0.3719287242
201	0.3717081685
202	0.3714905941
203	0.3712868923
204	0.3710531679
205	0.3708958834
206	0.3707490046
207	0.3705886313
208	0.3704384685
209	0.3701997314
210	0.3700496146
211	0.3698937722
212	0.369733439
213	0.3696794835
214	0.3693950202
215	0.3691631495
216	0.3690329595
217	0.3688662862
218	0.3688371379
219	0.368577248
220	0.3683833639
221	0.3683517978
222	0.3682752374
223	0.3679690299
224	0.3678547364
225	0.3677257257
226	0.3675723194
227	0.3675473358
228	0.367410569
229	0.3672726266
230	0.3670049098
231	0.3668672508
232	0.3667746667
233	0.3667342275
234	0.3665107542
235	0.366320705
236	0.3661779592
237	0.3660516092
238	0.3658235332
239	0.3656168963
240	0.3655315567
241	0.3654160761
242	0.3653190282
243	0.3651718044
244	0.3650439935
245	0.3649146734
246	0.3648043434
247	0.3646174458
248	0.3644716076
249	0.3643420215
250	0.3642347226
251	0.3640841379
252	0.3639891147
253	0.3638247693
254	0.3636688145
255	0.3635345152
256	0.3634808355
257	0.3634605213
258	0.363345848
259	0.3632078108
260	0.3630117136
261	0.3628785757
262	0.3627812585
263	0.3627217983
264	0.3625346269
265	0.3624301753
266	0.3622054942
267	0.3620582893
268	0.3619270539
269	0.3618635544
270	0.3617470614
271	0.3616091754
272	0.3614081918
273	0.3612776387
274	0.3612131376
275	0.3612074972
276	0.361111241
277	0.3609857994
278	0.3608771903
279	0.3606034875
280	0.3604734889
281	0.3603849382
282	0.3602885382
283	0.3601565532
284	0.3600171051
285	0.3598152815
286	0.3597394299
287	0.359549552
288	0.3594937343
289	0.35924607
290	0.3591607216
291	0.3589526802
292	0.3589233032
293	0.3588615522
294	0.3587514225
295	0.3586092465
