iter	Passed	Remaining
0	86	86697
1	91	45448
2	95	31835
3	100	25009
4	104	20778
5	109	18089
6	113	16093
7	117	14591
8	122	13476
9	127	12601
10	132	11940
11	137	11357
12	142	10851
13	147	10415
14	152	9995
15	157	9662
16	161	9323
17	165	9025
18	170	8814
19	175	8603
20	179	8384
21	184	8200
22	189	8066
23	196	7980
24	201	7851
25	208	7800
26	213	7684
27	217	7567
28	222	7447
29	227	7341
30	231	7244
31	236	7159
32	241	7063
33	245	6985
34	251	6932
35	259	6944
36	264	6894
37	271	6880
38	276	6819
39	282	6770
40	287	6720
41	292	6665
42	296	6607
43	302	6564
44	306	6507
45	311	6457
46	317	6436
47	323	6420
48	329	6391
49	335	6367
50	340	6328
51	344	6284
52	350	6254
53	355	6225
54	360	6190
55	368	6209
56	372	6170
57	377	6137
58	383	6117
59	388	6082
60	393	6050
61	398	6021
62	403	5995
63	406	5945
64	411	5912
65	416	5888
66	420	5861
67	425	5836
68	432	5837
69	437	5819
70	443	5806
71	449	5798
72	454	5776
73	459	5752
74	465	5742
75	470	5724
76	475	5700
77	480	5685
78	486	5667
79	493	5674
80	500	5677
81	505	5659
82	511	5645
83	515	5623
84	519	5596
85	523	5563
86	528	5546
87	533	5526
88	538	5508
89	542	5488
90	547	5472
91	553	5459
92	559	5458
93	565	5446
94	569	5429
95	575	5418
96	580	5404
97	585	5393
98	591	5384
99	596	5372
100	603	5376
101	609	5367
102	614	5355
103	619	5338
104	625	5331
105	630	5317
106	635	5302
107	640	5293
108	646	5281
109	650	5263
110	656	5255
111	663	5259
112	668	5248
113	675	5246
114	680	5234
115	685	5222
116	690	5210
117	695	5196
118	699	5180
119	702	5151
120	707	5142
121	712	5130
122	718	5119
123	728	5147
124	734	5138
125	740	5133
126	744	5120
127	749	5108
128	755	5098
129	760	5087
130	764	5072
131	769	5059
132	774	5051
133	780	5043
134	785	5034
135	791	5030
136	796	5018
137	801	5007
138	806	4997
139	811	4986
140	816	4977
141	822	4968
142	827	4959
143	833	4955
144	839	4949
145	843	4936
146	848	4923
147	853	4915
148	858	4902
149	862	4890
150	868	4882
151	872	4869
152	877	4857
153	881	4843
154	886	4835
155	891	4824
156	897	4819
157	903	4817
158	909	4811
159	914	4802
160	919	4792
161	923	4779
162	928	4767
163	933	4760
164	939	4751
165	943	4741
166	949	4738
167	956	4738
168	962	4733
169	968	4726
170	973	4718
171	977	4707
172	983	4703
173	988	4692
174	993	4682
175	998	4673
176	1003	4667
177	1008	4657
178	1015	4656
179	1021	4653
180	1026	4645
181	1032	4640
182	1037	4630
183	1041	4620
184	1047	4614
